104
P 30 5
N 45 16
P 40 5
P 40 7
P 70 3
P 20 10
N 60 8
N 20 2
P 52 149
P 27 126
P 66 178
N 45 20
N 77 56
P 45 145
N 49 185
N 71 176
P 65 90
P 18 180
P 72 199
N 10 5
N 66 50
P 17 192
N 81 136
N 89 20
P 15 71
P 38 95
P 29 85
N 63 8
N 71 124
P 24 91
N 68 158
N 29 131
P 36 22
P 85 104
P 66 1
N 8 156
N 39 152
P 48 162
N 39 27
N 12 65
P 82 53
P 75 21
P 62 128
N 36 172
N 65 186
P 32 173
N 54 0
N 65 129
P 54 92
P 4 35
P 14 152
N 15 6
N 51 198
P 31 164
N 59 30
N 17 161
P 61 166
P 11 191
P 11 24
N 19 178
N 30 128
P 11 15
N 69 98
N 49 68
P 34 32
P 17 64
P 22 91
N 2 141
N 75 116
P 51 46
N 26 161
N 42 26
P 9 46
P 57 113
P 1 90
N 4 149
N 66 36
P 18 155
N 73 30
N 15 48
P 33 181
P 13 33
P 80 121
N 26 140
N 20 24
P 84 0
N 52 52
N 87 10
P 25 88
P 44 186
P 7 85
N 85 139
N 21 95
P 8 114
N 46 128
N 7 47
P 58 100
P 61 25
P 4 85
N 36 64
N 77 163
P 60 61
N 58 137
N 76 4
P 66 85
P 69 7
P 74 110
N 6 54
N 29 146
P 82 128
N 24 86
N 42 58
P 65 39
P 5 96
P 18 81
N 66 5
N 13 73
P 27 59
N 17 82
N 5 199
P 53 123
P 1 143
P 27 159
N 75 22
N 79 85
P 44 123
N 89 18
N 6 72
P 81 50
P 46 72
P 33 41
N 1 81
N 8 24
P 84 23
N 29 78
N 28 91
P 85 114
P 80 139
P 84 108
N 57 10
N 67 124
P 46 142
N 8 168
N 13 108
P 70 158
P 17 186
P 4 151
N 75 79
N 89 91
P 53 28
N 70 164
N 27 145
P 56 195
P 22 185
P 81 168
N 31 102
N 33 84
P 20 20
N 62 73
N 79 98
P 12 170
P 13 164
P 57 122
N 63 155
N 23 84
P 76 103
N 25 24
N 7 95
P 6 165
P 23 30
P 43 180
N 47 10
N 78 160
P 6 114
N 26 168
N 82 22
P 76 148
P 69 170
P 89 111
N 1 175
N 45 128
P 74 177
N 18 10
N 71 109
P 45 174
P 80 148
P 71 163
N 47 53
N 23 112
P 73 79
N 32 48
N 12 87
P 35 119
P 33 189
P 24 98
N 41 113
N 1 88
P 23 84
N 39 37
N 55 194
P 40 68
P 66 148
P 70 109
N 8 173
N 83 129
P 71 91
N 47 176
N 66 162
