Fight, we must
Go and look, we should
Try, you must
Understand me, nobody can
Go home, you cannot
Use the force, you must
Time, it is
Reload the data, you must
All doomed, we are
This chicken, who ate
Punctuation marks, i want
Difficult, this is
More soup, we need
This is almost over, i hope
Run, i should
That guy on tv, you are
Dinner, they ate
To try it, we ought
Do that right now, i cannot
More important things to do with my life, i have
Type, sammy cannot
Code, spencer cannot
Be normal, nick cannot
Write wills when wills are needed for will, will will
Solve his problem, asher cannot
Strings are mutable, max thinks
Always get a 240, steven will
In charge of planning, yoda was
Making confusing problems, ariz is
Called ral, rahul is
The ultimate squid with his great squiddish power, sidh is
Random numbers in his datafile, sammy put
The judge data, i solved
